Sen_fre ,Sen_gho
il a pris,e? pe? 
il prend,e? be?
La terre,Ca'a?
il a aime?,e? ku??
il aime.,e? ?ku?
il a regarde?,e? le?
il regarde,e? de?
il a dormi,e? ti? 
il dort,e? di? 
il a vomi,e? te?
Réfléchit,"khw???ny??, "
il vomit,e? nte?
il a parle?,e? gho?m
il parle,e? gom
il a passe?,e? cy??
il passe,e? shy?
il est entre?,e? ko?
il entre,e? ?ko?
il as mis,e? ya?p
il met,e? ja?p
il a mange?,e? pfa?? 
La banane,khede?
il mange,e? mpfa??
il a su,e? zhy??
il sait,e? jy??
il a le?che?,e? ts??
il le?che,e? dz? 
il a fendu,e? wa?
il fend,e? gwa
il a e?crit,e? v??
il e?crit,e? bv?
c'est amer,a? z??
c'est amer,a? dz? 
La famine,Jiku'u?
Dis-moi,Si?? a?
C'est moi,My? ne? b?? w?? sh??? o?
Pourquoi?,O? sh??? a? ga?? k???
J'ai soif,Jishy?? w?? j?? a?  
C'est  Moyo,Tso? tsa?? b?? Moyo?
Excuse-moi,Cwy??' mh? m??
Le chien.,v??.
Lecture,Ke?yw??.
Il a pleuré.,E? l??. 
Il pleure souvent.,E? d?.
Il n’a pas pleuré.,E ka l??.
Il nous a vus.,E? y?? w??k. 
Il est si propre.,E? l?? ta d??.
Il n'est pas roi.,E ce? ba? fe? pa?. 
Il est retourné du bas.,E? f?? si?si?.
Il a saigné.,E ka te? mcy?.
J’ai bu de l'eau.,da nw?? shy?. 
Ils ont saigné.,Wa?p ka te? mcy?
Il lave tes habits.,O e? s??k mdz?? o?. 
Il dotera la femme.,E? g? ko? mdjwi?. 
Morceaux de phrases.,Mkam mgh??m
Tu avais acheté la poule.,O ka yo? go?p.
Nous avions vu de l'eau.,Py? la nw?? shy?. 
Vous avez lavé vos habits.,Pë e? s??k mdz?? m??. 
Il ne connaît pas de secret.,E ce? jy?? ca?m pa?.
Je ne connais pas la viande.,ce? djwy?? ba?p pa?.
Nous avions acheté les poules.,Pa ka yo? go?p.
J'étais allé cueillir la prune,Kha gh?? kha?p ts?m.
Ils partent doter des femmes.,Wa?p g? ko? padjwi?.
Ils ne connaissent pas de secret.,Wa?p ce? djy?? ca?m pa?.
Vous ne connaissez pas la viande.,Pe? ce? jwy?? ba?p pa?.
Nous sommes partis couper le prunier.,Py? ka gh?? kho?' dz?m. 
Hymne du Ghomala'.,Hymme du gh?ma?la?' .
Allons apprendre le Ghomala'.,Pa gh?? ji' gh?mla?' 
"Peuple de Binam (Bamileke), levez-vous.","Po a? Bi?nam, p? lu?ts?? si? "
Il est un gardien.,e? bya?p ts?'.
Que fais-tu?,O? b?? w?? fa?'? 
Honte pourquoi?,So? ku? a? ga?? k??
Le chien est important,A? b? v?? p??? 
J'apprends le ghomala,'Ga?? b?? w?? ji?' t?? ghoma?la? 
De tes agissements,N?? mfa' mu?
Remettons a? demain,Pu? ti? t?? g??m m 
Ca ne fait rien.,Bya t?? si? p?? 
"pe?re, j'ai faim","Ta?, djiku?' bo? dj??? a? "
il a pris mon stylo,e? pe? ku?v? a?
J'apprends seul,Ga?? b?? w?? ji?' t?? a? do? m
il m'a creve? l'œil,e? pi? b??ts?? a?
il s'est courbe?,e? po? n?? e
J'ai tre?s faim,Jiku?' w?? j?? a? te'
Nono est mon ami.,N??n?? pa? so? a?.
A tu vu l'élève?,O? y?? mu?se?ku? la??. 
Il pleur chaque soir.,A? ba? bwa?dz?? e l??. 
Il a acheté une plantation.,A? be? e? yo? fa?m..
Nono est notre élève.,N??n?? ba? mu?se?ku? y?k.
Le poisson ne pleure pas.,Bapgw? ce? d? pa?.
Je n'ai pas faim,Jiku?'t?? w?? j?? a? p??
tu as pris son argent,o? l? ?ka?p e
Si tu le de?sires,B?? y? o? ku? l?
il a taille? le bout,e? pi th?? e?
il me hait beaucoup,e? po a? t? a? cy??
tu as paye? la viande,o? yo? bap
tu payes souvent la viande,o? jo? bap 
tu as retire? de ma poche,o? te? p??? m
tu retires de ma poche,o? nte? p??? m
Le premier groupe,D??dz? pu? gh??
Verbes a? ton haut,Ghe pu? ?a?' gi?
C'est l'affaire de tagne,a? nu? ta?ny?
"tagne, d'ou? vient tu?","ta?ny?, o? f? m ha??"
Je reviens de la chefferie,Ga? f?? m tsa
Comment le fais-tu?,O? b?? w?? g?? m ga?? k?? ?
Est-ce que tu t'en sors?,T? b?? w?? ju?' l???
N'as-tu pas honte?,So? ka ku? o? a? 
C'est toi qui le sais,B? wu t?? jy?? 
Avant de dormir,"E? khw??' di?' zi?, "
Lorsque le jour se lève,"Dz?? d??,  "
Un homme qui sautille.,L??ts?? me?.
Quand le soleil se lève,"Na?m shw?? ta sa?', "
il se met rapidement debout.,e lo?' ny? du?si? . 
Il sort et reste dans la cour,"e t??m g? shw?dy??,  "
Commence à sautiller dehors,"tho?' ne? l???ts? bh??dz??, "
Dépose le couteau sur la pierre à écraser,"dja?p ny?? d?m la?, "
N'en parlons plus alors,L?? ka pu?u kwi?' go?m m
Laisse-moi parler aussi,Ta?k a? n??? ? g??m ya??
Ou? vas-tu mon ami?,O? g? m h?? so? a??
Le verbe a deux groupes,Gh?? wim bu? m??b????
Je vais a? l'ho?pital,Ga?? g? m l??kta?
Qui me cherche?,Wa?? b?? w?? sh??? a ?a??
Il e?coute la radio,E? w?? ju?' two' mcu??
Je suis un e?le?ve,Ga?? b?? mu?s?ku?
Et toi que fais-tu?,O? fa' yu? k??
J'ai compris. Au revoir.,Ga?? yu?'. A? l?? b? o!
Va bien! A demain,Ghi? a? pu?? ??! T? f??kdz??!
Je vais mourir de faim,Ga?? g? pf?? jiku'u? 
C'est difficile a? dire,A? t?? n?? gh??m 
Si j'ai bien compris,A p?? b? ga?? c??t? ju?'
Pas de proble?me,Sh? t?? si? p?? 
Dis-lui de m'attendre,Gh?m ga?? e? pya?p a?
Il est tre?s presse?,E? w?? do?' ny?? te'
J'ai beaucoup d'occupations,Mfa' m?? b? a? y??m 
Cite quelques unes voir,T???t?? sh?? n?? t?? pu?u yu?'
C'est inutile maintenant,A ka kwi?t?? cw?l??
Quand il est propre ça se constate.,E? d?? pe? y??. 
Il va au champ en soirée.,E? ba? bwa?dz?? g?? pe?.
C'est le fils de Dieu qui l'avait dit.,Mu? Si? le? la? g?m. 
Tu te laves la face chaque matin.,O? ba? f??kdz?? s??k s?? o?. 
Je suis en train de les tromper.,Ga? si? d??' ts?? gh?m bi? pu?.
Quelqu'un parlait hier avec blague.,Me? ka yo? da? fy?? g??m nw??.
Avant de prendre que tu aies déposé à l’ avance.,di?' pe? be? o? ya?p. 
Méfie-toi de ruiner ta famille.,P??m ta di?' gh? si?mny?? tw??dy?? o?. 
Méfions-nous de mal parler de son nom.,Pa p??m ne? po?pts? tse? tsy??.
Avant de prendre fais attention (réfléchit d'abord).,Di?' pe? da?k thw?? o?.   
Nous allons quitter a? midi,P?? go lu mo?kc?? 
bat le jusqu'à ce qu'il tire.,Pu?' ta? t?????.
bon appétit à vous ooo!,A? cy?? shw?? pe? la? o !
Retire et met dans une assiette.,Te? ni?? th??m k???. 
"en tournant, ajoute s'y de l'eau.",So?pny?? la? khwi' shy? na?.
porte et viens avec moi la dégustation.,Kwa da? s?'?? pa ts??.
Tu vas travailler cette nuit,O? go fz' mts??' ty??' o
Heureuse matinée a vousf,??kdz?? pe?p??? bi? pe?
Matinée du peuple de Yogam,f??kdz?? p? a? y??ga?m 
Heureuse matinée oh oh oh oh,f??kdz?? pe?p??? o wo wo wo
Heureuse matinée oh oh oh oh oh,"f??kdz?? pe?p???, ou wo wo wo wo"
"Heureuse matinée eh, yeh, Yogam e","f??kdz?? pe?p???, e?, ye?, yo?ga?m e?"
Heureuse matinée oh oh Yogam e,"f??kdz?? pe?p???, wo? u wo? yo?ga?m e"
"Heureuse matinée a vous, peuple de Yogam","f??kdz?? pe?p??? bi? pe?,p? a? y??ga?m "
"Heureuse matinée a vous, peuple de Yogam","f??kdz?? pe?p??? bi? pe?, p? a? y??ga?m"
"Oui,J'ai un livre et un magne?tophone","E?e?, a? b? ga?? gh? ?wa'ny? ba v?bi?gom"
Viens maintenant manger,So' cw?lo dz?? yw?? 
Fais comme tu veux,Y? vam ne? ?kwa y? th??
Parler ne suffit pas,N?? zhy?? n?? ghom ka ku?'
Continue pluto?t demain,Ti? fo?kfz?? t?? n?? go dz??
"Allé, allé, alléluia.","A?le?, a?le?, a?le?lu?ya? !"
Allez apprendre la science.,G?? dji?' ts?? jy??nw??. 
Les tous petits de notre patrie.,Yi? me?na? po a? la?' py??.
Portez vos sacs à dos et mettez-vous en route.,Be? p?? se?ku? tha?m ma?djy?. 
Vous les tous petits de notre patrie! Levez avc vigueur!,Yi? me?na? po a? la?' py? ! Po y???na? du?si!
Ecrire et lire sont ne?cessaires,N?? v? bi? ?ke? b? a? kwi?t??
Je le sais;N'en parle plus,A? b? ga?? zhy??;k?? kwi' go?m m 
"J'ai compris,Je vais me battre","Ga?? yu?',Ga?? go kak t?o?"
"C'est bien,Je te fe?licite beaucoup","A? pu??,Gz?? pi? o? te'"
"Obe?is a? ta me?re,Ne soit pas te?tu","Yu?' bi mo? o,K?? t?o th?? "
Ce n'est pas la te?tutesse; J'arrive,A t? t?oth?? p?? ; ga?? w?? so?'o?
Attends-moi. Attends-moi le soir,Pya?p a?. Pya?p a? bwa?dz??
S'il veut qu'il visionne aussi la te?le?vision,E ku? e le? ba yo?ju?'
"Tamise, retire les pulpes et met derrière.",C?' the? mgha?' my?? dja?p dj??m.
porte la poudre de maïs et verse-la dans la marmite.,Kwa v??ms??? kwy?? b???.
mes affaires ne concernent que moi,Mnu? ma? bo? de? a? my?
Que tes affaires ne concernent que toi,mnu? mu? pa? de? a? w?
Je me préoccupe des problèmes de la chefferie,ga? ba? na? nu? tsa  
Toi tu te préoccupes des problèmes d'assiettes,o pa? na? nu? k???
"Armel, ou? es-tu? J'ai besoin de toi","Armel, o? h?? ? Ga?? w?? sh??? o?"
La mère chiennes est tellement sévère.,M??? v?? sh??k te' .
Le raccourci nous avait trompés.,djy? ke?kam ka f?? w??kpa?.
L'habit noir n'est pas difficile à laver.,Se?s?? mdz?? ce? the? ne? s??k pa?.
Le chat blanc mange la souris noire.,Fe?fa? pu?si?  w?? mpfa? se?s?? cwa?kw??.
Ils sont victimes d'une mauvaise affaire.,Mu'b??kb??k nw?? t??m na? pu?..
On ne porte pas l'habit sale avec de laver.,Pe? ce? kwa dzi?' dzi?' mdz?? ce? s??k p??. 
Le raccourci avait coupé le pied de la perdrix.,kam djy? l? ya?' kw? sa??g?p??.
Prend la petite assiette et vas la déposer à l'extérieur.,Pe? ko' k??? da? g? pe? dja?p. 
La chèvre savoure les jeunes repousses d'herbe.,Mghe? ce? ya?m b?? bi? mdz??.
Le maigrichon enfant que tu connais est décédé,Me????? mu? ye? o? jy?? a? ke? mpf??..
Prenez les habits sales pour aller laver à l'eau.,Pe? pe? mdz?? dzi?' tsi'i? da? g? shy? s??k??.
Le chat noir est en train de manger la souris blanche.,Pu?si? se?s?? pa? w?? mpfa? fe?f?? cwa?kw??.
Égrène le maïs charançonné et va le lancer aux poules,Kwya?k ge?fa p?mp?m ma?' bi? gop??.
L'assiette du chien n'avoue pas jusqu'à ce qu'on comprenne.,K??? v?? ce? shu' ta me? yu?' pa?. 
Ne porte pas l'habit sale pour te mettre au milieu des gens,K?? kwa dz?? dzi?'tsi' i? da? g? ce?ca? me?na??.
"En portant les habits, rassurons-nous qu'ils soient des habits propres",Pe? ll?' kwa mdz?? a? pa? mdz?? d??l??.
Lisons ces phrases et essayons de les traduire en français.,Pa ke? mgh?m m? bi?? fo?'ts?? ne? tu?ts? na? fla?si?.
Une vache immobile est au champ en train de manger les jeunes repousses d'herbe.,Mu' ce??a' na?' pe? mpfa?? mghe? ya?mya?m.
Lorsque le chien est exagérément sévère c'est dangereux;,V?? sh??k ta a? cy?? po?' a la p???; 
Nul ne peut entrer dans une maison ou il y a le chien sans qu'on ne l'enchaine.,Pa? me?dy?' la ko? th??m la?' tsy? v?? na? a? ce? me? khy??p e?. 
Lorsqu'il voit un individu qui lui est inconnu il commence directement à aboyer.,E? dj?? me? ye? e ka jy?? e? a? gw??? tho?' a? ne? cu?'. 
Un autre chien est si sévère jusqu'à oublier même celui qui lui donne souvent à manger.,Mu' v?? sh??k ta ba? de?ny?? ba me? ye? e? khi?m e? a?a?.  
Mon père Lyenue est un homme sautillant.,Ta? a? Ly??'nw?? ba? ta' l??ts?? me?. 
Et à boire des bouteilles de vin pour trébucher.,pe? a mkam mlu' nw?? la? k?ts?.
Et s'imagine les endroits qu'il va parcourir.,bi?? s??? mts?' my? e? g? gh? n?? a?a?. 
Cependant il s'était auto détruit à travers la paresse.,Da' ga? be? e le? da l??? bo?p na? e.
"Me voici,Je suis dans la chambre","Ga?? y???,Ga?? two?' dy??"
De quoi se fa?che-t-il?,Y?? k?? b??k e? e? ?
Jette un coup d'œil sur lui.,Ma' mny?? n?? e? 
Je suis fatigue?. Je meurs de fatigue,Ga?? pwa?. Ga? g? pf?? pwa?
"Si tu es sage, tu t'enfuis",O p?? jy??nw? o kh??
Pourquoi ne m'as-tu pas dit?,Nw? k?? b? o ka si? a? a??
C'est qu'il n'est plus chiche,B? e t?? ja? na?m p??
Alors ne l'e?touffe plus.,L?? ka mo kwi? ?ko?ny?? ??
Quelle est ta profession?,Yu th??fa?' b?? k? ?
Je suis un commercant,Ga?? b?? nt??sim
Comment va donc le marche??,"T? si?m w?? gi? ty??' ? , la?' ghi?"
Ou? vis-tu? Je vis a? Pe?te,O? shw?? h?? ? Ga?? shw?? a? do? m
Je vis avec mon pe?re et ma me?re,Py? ma? a? pu? ta? a? n?? shwn??
Je vis avec un ami a? moi,Pye mu' so? a n?? shw?? 
On ne doit jamais vivre seul,Ka mo la?' shw?? do? e?
Tu t'y rends pourquoi?,O? g? m n?? gh? k??
Pour rendre visite a? un ami,Ga?? g? le? mu' so? a?
Attends-moi que je te dise,Pya?p a? n si?? o?
Nous allons partir ensemble,Pu? g? p??mt?? gh?
Si tu n'y trouves pas d'inconve?nients,B?? y? a t? g? m??ny?? o? p??
"Une fois la?-bas, tu le salues de ma part",Ko? sha?'t?? e? b??m
Qu'est-ce que tu vas donc manger?,T? o? g? ts?? k? ?
Qu'on me donne n'importe quoi,Mo ha? ba? k??l?? b??m 
Ventre affame? n'a pas de choix,Vam jiku?' t?? ?ke? p?? 
Sauf que je suis presse?,Da'pa?'m w?? do?' ny?? l? 
Dis-lui de revenir demain,Ghom ga?? e? ti? t?? s??'??
Il ne va pas accepter,E t?? g? pi?? p?? 
Je ne le dis pas pour rien,N t?? ne go?m p??
Ne me harcelle pas seulement,K?? zh???ny?? a? zh???ny??
qu'il fasse alors comme il veut!,L?? e gh?? pa?' e? y?? l?
Laisse -moi; Je suis fatigue?,Ta?k a? n??? ; ga?? pwa?
Parle alors; Je suis tout oreille,Gh?m l?? ; ga?? w?? nte?? mt???
Pour qu'on se dise quelque chose a? l'oreille,Ga?? pu?u na?' ?k??p t??? 
Qu'est-ce que tu as fait pour e?tre fatigue??,O? fa' k?? t?? bwa? a??
La banane mur est bonne.,khede? p??? b?? te' .
Que chacun plante sa bananeraie.,Ba?ya? me? la? t?? my?? khede?.
"Tout en d'adoucissant, elle devient sucré.",A? di?' pya?ny?? ba? d??mts??.
"Lorsque tu consomme, ton corps se vivifie.","O? dz?? ya?, na? o s???ny??."
C'est avec de l'huile rouge qu'on pille.,Pe? da pa? p??? mwa? da? shu?' cu?'.
"Ça ne gratte pas, encore moi Collant.","A ce? dj?k pa? , a la nya?? ba? ???. "
On ne consomme pas la banane non mûre.,Pe? ce? dz?? khede? ce? p??? pa?. 
retire le couscous et emballe-le avec des feuilles.,Te? ms??? da? mhw? bu?.
Comment préparer le couscous de maïs et le Nkwii.,Në n??? ms??? mpf?.
"en te reposant, commence à apprêter le Nkwii.",di?' hwi?ts?? tho?' ne? nu' mpf?.
"goûté, c'est cuit. Retire la marmite du feu.",Ywi?'ts??. A? mts?? . Kwa b??? th?? si?.
tourne en goûtant jusqu'à ce que ce soit cuit.,pe?ny? la? hwi?ts?? ta? a? cw?? mdz??.
"Goûte, jusqu'à ce que ce soit savoureux dans ta bouche.",Ywi?'ts?? ta? a? la?mny?? shw?? o?.
On ne doit pas aller qu'au marché pour en acheter.,Me? ce? g? pa? gh? a? sim ta? yo? pa?.
"On malaxe la banane non mûre, pour piller un repas.","Pe? tham khede? ce? p?? , ka da? shu?' a? yw?? la?. "
"Lorsqu'on mange le pillé avec la main, on trouve appétit.",Me? da pu? e? da? mpfa? cu?' a cy?? shw?? e?.
"Tamise encore, retires le son de la farine de maïs.",Kwi' sh??' the? jagele nâ v??ms???.
Egraines le maïs et vas le faire moudre au moulin.,Kwya?k ge?fa da? g? ma?si?? gw??' ??.
Je vais mourir de soif,Ga!e g!o pf%! u jishy!e 
Qu'on me donne de l'eau a? boire.,Mo ha? ya? shy?? n nw?? 
Ma gorge se desse?che,Gha?k a? w?? ?kh??
Le vin ne peut pas remplacer l'eau,Mlu' t?? g? n?? ts?' shy? p?? 
il est fort en cole?re. Il se fa?che trop.,Lu?? e? w?? j?? ; e? da' a? cy?? 
La nourriture est bien en saison de pluie,Y w??ts?? bu? kapso?
Il fait soleil en saison se?che.,Na?m nty?? ka?pl??m
Vas rejoindre tes affaires.,Gh? na? mnu? mu?.
La disette est grande en pe?riode de soudure.,K?ya?' j??m kapcw??
Le cultivateur ne souffre Pas,Dz??'ca' t?? j?? go?' p??
Est-ce que tu me connais?,O? zhy?? a? a?
Mes affaires concernent le problème de manger,Mnu? ma? ba? na? nu? yw??ts??
Mes affaires concernent le problème du palais royal,mnu? mu? pa? na? nu? tsa?
Laisses moi tranquille dans mes affaires,ta?k a? tsa? na?? pe? a mn? ma?
Pe?re restes tranquile et que je te dise hein!,"Ta?, neshw?? si?? o? ba"
Ce n'est pas l'assiette qui tranchera mon proble?me.,ce? k??? le? g? sa?' ya sh?? pa?
Il ya eu manque de plat(propre) tagne.,A? ba? ya?k pak??? m Ta?ny?.
N'est ce pas que ce temps là est déjà passé?,"ta?, cw? b?? ka cy?? a?"
Tu as déjà grandi au point de te mesurer à moi.,o? y??? kwy?? ta bo? fo?' a?
"Non, ne dis pas que je t'ai méprisé.g???!",ka? gh?m ga? ga? wa?k o? a?!
"Non, Je ne te connais pas, Dis-moi ton nom.","G??,? ka zhy?? o?, Si?? a? tso? tsu?."
J’étais venu très en retard;,di?' so' shw?? te' o?;
Je serais le haricot pendant une semaine.,be a? ts?? m ko? na? ta' gapdz??. 
Notre salle de classe était par en haut.,Y?k dy?? s?ku? la? ba? m ta? tsy??.
"Par ailleurs, je me suis questionné en ces termes:","A pá po?', há?ts? na? a ga?:"
"Jusque-là, je ne connaissais pas autant qu'eux.","Ba ta po?'o,da djy?? pa?' wa?p a?a?."
La terre est un élément qu'on ne peut mesurer,Ca?' ba? yw?? ce fo?'
"si tu veux, tu le façonne et le met dans une assiette.","Ba? ye? o? kw?? a?, o so?' ni?? th??m k???."
l'eau a bouilli; retire le Nkwii et met le dans une assiette.,Shy?? s??; te? mpf? ni?? th??m k???. 
verse le son de maïs dans la marmite avant de tourner.,kwy? jagele ms??? th??m b??? ta? be?ny??.
"porte le Nkwii Déjà préparé, verse le dans une marmite et bat le.",Kwa mpf? nu'nu' kwy?? b??? bu?'.
"porte la marmite et dépose là au feu, puis met de l'eau a l'intérieur.",Kwa b??? th?? te ni?? shy? th??m o?.
"Le pillé aux haricots et à la banane plaît aux enfants, au point où, il n'y a pas moyen de décrire.",Cu?' mko? khede? b?? pe?kh?? ta tsi??ny?? si?? o? la pa? w??.
lance le Nkwii à l'intérieur et attends que l'eau devienne bouillante.,Ma' mpf? th??m o? bya?p ta? shy? s??.
"bat le, et goûte si le sel ou le vinaigre de cendre ont suffi dedans.","Kwi' bu?' , djwi?'ts?? gw??? pe? a s??k ba mcy??."
porte les condiments recommandés dont tu avais déjà écrasé et verse le dedans.,Kwa ts??s??k tsy? o la?' gw?' a? ni?? th??m o?.
"prends le Nkwii et épluche le, prendre la ficelle de bananier et attache le avec.","Pe? mpf? sya? , de? kh?kh? da? khw??."
Le travailleur de terre ne peut dormir affamé,D??' ca' la?m di?' zi? dji? be a dja?k yw??ts??
On dit que Dieu avait usé de la terre pour fabriquer l'homme,Pe g?m ga? Si? la? da a? ca'a? b??m methe
"Comme tu a passé la journée avec le Roi, vas le lui demander","po?' djw??k pe? a Fe a?a?, gh? do? bi? i?"
"Tagne que tu es courageux, qu'allais tu faire à la chefferie?","Ta?ny?, bo? s?k t??m, o? f?? m tsa ne? gh? ki??"
"Tagne laisse l'affaire de chefferie tranquile, commence par l'affaire des assiettes.","Tâny?, ta?k nu? tsa? na??; to?' f?? m na? nu? k??? "
Donc vas-tu mettre ta part de nourriture dans les affaires de la chefferie pour manger?.,To? si? g?? ni?? yu yw??ts? t??m nu? tsa ta? ts?? la???
"Tu me méprise jusqu'à ce niveau, Tagne? tu me méprise jusqu'à ce niveau?.",o? gwa?k a? da? po?' la Ta?ny?? o? gwa?k a? da? po?' la?
"L'eau est plus abondante que la terre, mais c'est la terre qui soutient l'eau","A? be shy?? y??m shy?? ca?', ta? ca?' le pa? ?kwa shye"
"Voulant sortir d'un lieu éternellement, en partant on tape la terre de ses pieds","Ba? sha?? ne? t??m na? ts?' mama,di?' gh? bu?' ca?' n?? mkhw? my??"
"Quand tu m'enfantait, tu prévoyais que c'est à moi de venir laver tes assiettes?.",o la? di?' ts?? a? ba? s??? ga? my? le? bo? g?? so' s?k mk??? mu? ke??
"Quand je t'enfantais, je prévoyais que tu devais venir m'aider.",da li?' ts?? o? ba? s??? ga? o? g? so' kwi?ts?? a?.
"Je suis dépassé par Tagne oo, Ce sont les affaires de Tagne.","Ta?ny?? cy? a? looo, a? nu? Ta?ny? oo"
Comme le sommeil l'avait pris.,pa?' lw??k ko? kho? ts?? e?.
"Cependant, il était dépassé par la situation.",o? ha?la? nw? cy?? e?
"En arrivant en brosse, il était fatigué.",E la ghi?? ta di?' ?wak ve? be? e? pwa?.
Il se redressa et vit que c'était un animal féroce.,E p??' na? e dj?? a pa? n??mthe?.
Tagne soit compatissant envers moi Me voila tout épuisé.,Ta?ny? gh?? sh??m tse? ma?. ga? ya? be? ga? pwa?
En aboyant il cherchera à mordre celui qui les a visité sans qu'il ne le connaisse.,"É di?' cu' po?'o, ba? sha?? a? ne? l??m me? ye? e khe?ka? wa?p ce? e djy?? e? a?a?. "
