ě pé 	il a pris
ê bé	il prend
Ca'á	La terre
ě kùŋ	il a aimé
ê ŋkuŋ	il aime.
ě lé	il a regardé
ê dé	il regarde
ě tí 	il a dormi
ê dí 	il dort
ě té	il a vomi
khwɛ́ŋnyə́, 	Réfléchit
ê nté	il vomit
ě ghòm	il a parlé
ê gom	il parle
ě cyə̀	il a passé
ê shyə	il passe
ě kó	il est entré
ê ŋkó	il entre
ě yáp	il as mis
ê jáp	il met
ě pfaə́ 	il a mangé
khedé	La banane
ê mpfaə̀	il mange
ě zhyə̀	il a su
ê jyə̀	il sait
ě tsɛ̀	il a léché
ê dzɛ 	il léche
ě wà	il a fendu
ê gwa	il fend
ê və̀	il a écrit
ê bvə	il écrit
ǎ zə̀	c'est amer
â dzə 	c'est amer
Jiku'ú	La famine
Síŋ á	Dis-moi
Myə nê bə́ wə́ shə́ŋ ó	C'est moi
Ô shə́ŋ á gaə̂ kə̀?	Pourquoi?
Jishyə̌ wə́ jɛ́ á  	J'ai soif
Tsô tsaə̂ bə́ Moyó	C'est  Moyo
Cwyə́' mhɔ mə̌	Excuse-moi
vʉ̌.	Le chien.
Kéywə́.	Lecture
Ě lɔ̀. 	Il a pleuré.
Ê dɔ.	Il pleure souvent.
E ka lɔ̂.	Il n’a pas pleuré.
Ě yɔ́ wɔ́k. 	Il nous a vus.
Ě lɔ́ ta dɔ́.	Il est si propre.
E cë bá fė pà. 	Il n'est pas roi.
Ě fə́ sîsǐ.	Il est retourné du bas.
E ka té mcyə.	Il a saigné.
da nwə̂ shyə. 	J’ai bu de l'eau.
Wáp ka té mcyə	Ils ont saigné.
O ê sɔ́k mdzə̂ ò. 	Il lave tes habits.
É gɔ kó mdjwǐ. 	Il dotera la femme.
Mkam mghɔ̀m	Morceaux de phrases.
O ka yó góp.	Tu avais acheté la poule.
Pyə la nwə̂ shyə. 	Nous avions vu de l'eau.
Pë ê sɔ́k mdzə̂ mɔ́. 	Vous avez lavé vos habits.
E cë jyə́ càm pà.	Il ne connaît pas de secret.
cë djwyə́ bàp pà.	Je ne connais pas la viande.
Pa ka yó góp.	Nous avions acheté les poules.
Kha ghɔ̌ kháp tsəm.	J'étais allé cueillir la prune
Wáp gɔ kó padjwǐ.	Ils partent doter des femmes.
Wáp cë djyə́ càm pà.	Ils ne connaissent pas de secret.
Pė cë jwyə́ bàp pà.	Vous ne connaissez pas la viande.
Pyə ka ghɔ̌ khó' dzəm. 	Nous sommes partis couper le prunier.
Hymme du ghɔmálá' .	Hymne du Ghomala'.
Pa ghɔ́ ji' ghɔmlá' 	Allons apprendre le Ghomala'.
Po á Bînam, pė lútsə́ sí 	Peuple de Binam (Bamileke), levez-vous.
ê byáp tsʉ'.	Il est un gardien.
Ô bə́ wə́ fá'? 	Que fais-tu?
Sǒ kú á gaə̂ kə?	Honte pourquoi?
Â bė vʉ̌ pɔ̀ŋ 	Le chien est important
'Gaə̂ bə́ wə́ jí' tə́ ghomálá 	J'apprends le ghomala
