Sen_med	Sen_eng
Leʼnjʉ	Days
Bwə̀tə̌	Clear
Sɛ̂nni	Today
Ngə̀laŋ	Hours
Mfenyam	Minutes
Mfenyamnkəʼə	Seconds
Diagtə leʼnjʉ	Set Date
Diagtə ngə̀laŋ	Set Time
Ka leʼnjʉ	Choose Date
Ka ngə̀laŋ	Choose Time
Diagtə njoŋ ngə̀laŋ	Set Duration
Mbadtə̀ ŋwʉ	Next Month
Nzimbwə̀ ŋwʉ	Previous Month
Tsə̂moʼ ngə̀laŋ	Other Dates
Ndamnjʉ	Tomorrow
Məè bə αê ngaè ŋwaèʼni 	I am a pupil 
Məè bə αê ngaè ŋwaèʼni 	I am a student
Mə̌ nəè fitə ziʼ ju 	I rest to study
Mə̌ kɔ̂ ngaècaègtəè 	I love the leader
Mə̌ ghʉ̌ bαûm ŋwaèni 	I have a school bag
Mə̌ nɛèn αê ŋwaèni 	I am going to school
Məè num nɛ̂ n ŋwaèʼni 	I often go to school
Mbα wəloè bo zəè ngaètswitə̌ 	Each with his teacher
Mə̌ ghʉ̌ nzwə̂ ŋwaèni 	I have school uniform
Mə̌ fə αê ŋwaèni 	I am back from school
Mə̌ aèʼ nɛ̌ n ntsə 	I must go to the water
Mə̌ kɔ̂ ngaècaègtəè 	I admire the headmaster
O nɛèn αê ŋwaèni 	Are you going to school
Bαg kə ntum αê nkə̂ bnjʉ 	We go out in the morning
Mə̌ ghʉ̌ cu ŋwaèni yαmə 	I have a lot of school tools
Mαênzəè ŋwaèʼni saègə 	The way to school is long
Bαg num njαm mαênzəè 	We are often numerous on route
Ghaŋwaèʼni num njαmə 	pupils are often numerous
Ghaŋwaèʼni num njαmə 	Students are often numerous
Dʉ̌ ʼ ŋwaèʼni saègə 	The place of the school is far
Mbwogcʉ̂ ŋwaèni mi 	The school finishes during the day
Mbα wəloè bo zəè ngaètswitə̌ ntʉ̂ m taʼ ndαê ŋwaèʼni	Each with his teacher in a classroom
Nkə̂ bnjʉ bαg tsin nka 	In the morning we will align ourselves
Ghatswitə̌ bɛ̂ n njαm dʉ̌ ʼ ŋwaèʼni 	Teachers are the most numerous at school
