Mə	I
Nɛn	Go
À bə zə	If
Ntɔ̂	In
Mə̀	Me
Yὰm	My
Gha	No
Num	On
Bαg	We
Bαgὰbo	We
Bə̀	We
Bαgὰbin	We
Bαgὰbinαbo	We
nùm	on
gá	no
Sàm	My
Ngā	No
Mbu	Arm
Bǎm	Bag
Nkunndα	Bed
Ghu’	Big
Yaŋbǎʼ	Car
Bùsi	Cat
Kəb	Cut
Tα	Dad
Mbwogcʉ̂	Day
Mbʉ	Dog
Njʉ	Eat
Jʉ	Eat
Lαg 	Eye
Sàgə	Far
Ngab	Hen
Dùmtə̌	Hot
Ndʉ̂kə	How
Tsiα̂ŋtə̀	Joy
Mα	Mum
Mvɛd	Oil
Kʉ̂dfi	Pen
Ngʉnyα̌m	Pig
Yαb   	Put
Cědkù 	Rat
Njən	See
Tα	Sir
Mfì’	Try
Mbαhα 	Two
Mα̂nzə̀	Way
Nzə	Way
Bəʼ	Yam
Ŋ̂	Yes
Mɛnmαndùm	Boy
Nyaŋ	Fur
Yən	See
Jun	Buy
Ncʉ’	One
Bαhα	Two
Ntogə	Six
Gham	Ten
tswə	sit
cùbt̀ə	add
sí	cut
zún	buy
nyàm	sun
yág	dry
ŋάb	gum
bὰm	bag
tά	hot
tə́	put
làb	hit
nα’	cow
jən	see
kafe	tea
ndèdndèd	Ant
Bu	Arm
Zwə’	Hip
Nsa	Hip
Mfê’kù	Gap
kù	Leg
Nkǔbncù	Lip
Tòŋ	Ear
Ntûkù	Toe
Ngùblag	lid
Nsi	God
Ndà’ndà’ lα!	Hi!
ō	you
Mvɛ̄d	Oil
Ngwà	Row
Ngwà	Ray
Tādtə̄	Lie
Nə̀tādtə̄	Lie
Yāb	put
Mvɛ̀n	Back
Ndù’	Beer
Saŋ	Bird
Wʉd	Body
Wud	Body
Nə̀kutu	Bold
Vogə 	Bone
Sə̀’ə	Came
Tʉ̂ntə	Cite
Mfʉαg	Cold
Sə̀’ə	Come
Na	Cook
Ngə̀fəd	Corn
Leʼnjʉ	Days
Nzəndα 	Door
Ntòŋ 	Ears
Làŋtə̀	Exam
Miαg	Eyes
Tamnsi 	Fall
Mbwog	Fear
Nkù	Feet
Caŋ	Food
Jûjʉ 	Food
Nkù	Foot
Ngab	Fowl
Bα̂n	Fufu
Dun	Full
Fα	Give
Bwə	Goat
Bwɔ 	Good
Mbwɔ	Good
Nyα̌ŋtû	Hair
Nyǎŋtu	Hair
Bu	Hand
Nə̀ cʉaŋə	Hang
Bǎn	Hate
Tu	Head
Njwîmtə	Help
Ndα 	Home
Nja	Hurt
Njogə 	Itch
Yαb   	Keep
Lê’	Keep
Kəkʉα	Koki
Fu	Leaf
Kɔ̌	Like
Sàgə	Long
Bi	Lost
Bi 	Lost
Nkɔ̂	Love
Kɔ̌	Love
Yαm	Many
Ghaʼmbu	Many
Yαmə 	Many
Caŋ	Meal
Mbαb	Meat
Yὰm	Mine
Yαme	Much
Tɔ	Neck
Cɔ̌	News
Bwɔ̌	Nice
Tə̀yoŋncʉ̌	Once
Coʼ	Open
Co’	Open
Nja	Pain
Biha 	Pear
Mba 	Pots
Sǎ	Pour
Fɛ̀dtə̌	Pour
Mbàŋ 	Rain
Mbαg 	Raw 
Nkα̂ge	Rear
Nkûn mə̀kad	Rice
Nzə	Road
Ntôʼzi	Room
Yǔb	Sing
Tswə̂ nsi	Sit 
Zǐnkətoʼo 	Sock
Kwǐ 	Song
Sog	Soup
Ncobtə	Talk
Fàgtə̌ 	Tear
Fàg	Tear
Yənnα	That
Kα̌ŋ	Turn
Nzin	Walk
Dùmtə̌	Warm
Sog	Wash
Mα̂ʼ	Wear
Cʉαg	Wild
Ndú’	Wine
Zənù	Wise
Ncwɛn 	Wood
Fàʼ 	Work
Ncùndα 	Yard
Tα̂mnguʼ	Year
Nyaŋ	Hair
Com	Plum
Ndɔ̀	None
Yən	Meet
Mbə̀’yα̂m 	Most
Fitə̀	Rest
Bid	Grow
Kuὰ	Four
Tα̂n	Five
Bwə̀’ə	Nine
Swɛ̌n	Sell
Là’tə̌	Show
Kù	Foot
Ndɛ̀n	Pity
ntǔnnkù	heel
zwάk	warm
sʉ̀	show
sà	star
sə̀k	come
cɔ́g	bite
ŋúk	bend
wág	snob
kὰn	turn
kiàg	undo
yɔ̀g	life
siáŋ	read
kém	feed
béb	wait
tó	hole
là	swim
làb	beat
cwɛ́n	wood
bwɔ́g	fear
bód	tire
lɛ̂n	name
jən	look
cwítə́	pick
Mbaŋ bwə	Near
wud	body
Mbwòŋtùn	Anus
Mbu	Arms
Nyǎŋtu	Hair
TƆ	Neck
Mvɛ̀n	Back
Tûkə̀kwi’i	Knee
Nto	guts
Nkù	Legs
Bu	Hand
Tǔnncù	Chin
Njàmkù	Calf
Ngǎləm	Vein
Ntsəlag	Nose
Njàmtɔ	Nape
Nkib	nail
Ntòŋ	Ears
Ntûnkù	Toes
Ngǔbmiag	Lids
Nkù	Feet
Tûmzə̀’nì	pore
Tǔnkù	Heel
Fʉnkù	Shin
Dʉ̌’jʉm	Womb
Sə	Face
Miag	Eyes
Mbàb	Meat
Ngòn	Girl
Mbà	Core
Njā	Pain
Kwàtə̀	Idea
Sà	Star
Ngā	Deny
Kwā	Ring
Ngwā	Salt
Nkā	Bell
Làd	glue
Kàb	Gate
Ngǎbnjʉ̄	Week
Bàb	Wing
Yαmə 	A lot
Ncʉαgə 	Acid 
Tsîn nka 	Align
Bànkun 	Beans
Bambwogə 	Bike 
Nəsɛ̂n	Black
Sɛn 	Black
Nkoŋkə̀nà 	Boots
Bə̂’	Break
Be’	Break
Tsîd	Break
Mbə’	Break
Cû’	Brush
Ghǎjun	Buyer
Nkə̂d	Carry
Diaŋ	Chair
Mfə̌n	Chief
Mɛ̂n	Child
Mɛn	Child
Lαn	Clean
Bwə̀tə̌	Clear
Fʉ̌n	Close
Nzwə	Cloth
Siaŋ	Count
Ndûd	Cross
Tα	Daddy
Nyǎŋ	Dance
Kὰbὰ 	Dress
Nu	Drink
Tɛ̌dndα 	Floor
 Ləd 	Glass
Cûntαn	Goods
Nə̀nὰ	Grass
Câ’tə	Greet
Nə̀nὰ	Herbs
Ngə̀laŋ	Hours
Bàʼ	House
Ndα 	House
Ndʉ̂kə? 	How? 
Ŋaŋom	Hyena
Mbi	Knive
Fʉὰgə	Light
Mα	Madam
Ngə̀fəd	Maize
Bǒʼlɛnə 	Melon
Cědkù 	Mouse
Ncù	Mouth
Ncǔ	Mouth
Mα	Mummy
Tɛdtswəʼ	Night
Nǔm	Often
Fitə	Peace
Dʉ̌ʼ	Place
Nka 	Plate
Ghǎŋwàʼnǐ	Pupil
Nkwêfoŋə 	Radio
Bʉʼ	Raise
Nkα̂ge	Raise
Nkûm	Reach
Câ’tə	Salut
Sog	Sauce
Lα̂mtu  	Scarf
Ghὰbtə̌	Share
Kom	Shave
Njʉmbwə	Sheep
Tûnzwə 	Shirt
Zi	Sleep
Ncobtə	Speak
Ndùʼ	Spoon
Kog 	Stick
Ziʼ ju 	Study
Beʼtə	Sweep
Nguαntαn	Thief
Ju 	Thing
Ntad 	Three
Mα̂ʼ	Throw
Bod 	Tired
Sɛ̂nni	Today
Sɔ	Tooth
Nzə	Voice
Fogtab 	White
Nkî 	Write
Mǒ’	Other
Ləm	Blood
Fitə̀	Break
Kud	Build
Tad	Three
Sὰmmbαhα	Seven
Fomə	Eight
Tum	Leave
Co	Enter
Tsiàŋtə̀	happy
Cʉαg	Sharp
zí	sleep
nyàm	watch
nyú	snake
cɔ̀	story
ŋúk	twist
kuiág	cough
fì̀	grave
bèk	sweep
tɔ́	shout
dúk	spoon
tó	burst
ŋkwὰn	slave
lɔ̀n	stone
zwì	laugh
vwάk	throw
màd	habit
bàg	split
Ngànjun	buyer
kǐ	write
Nyǎŋncù	Beard
Kòb	Waist
Mbâkù	Ankle
Ntʉ	Heart
Tǔnbu	Elbow
Tàmmbwə̀	Thigh
sɔ̄	Tooth
Nsɔ̄	Teeth
Nsa	Flank
Nto	bowel
Ghə̀’	Cheek
Mbu	Hands
Nga	Nerve
Tɔ̀	Navel
kə̀d	Penis
Njòŋtə̀bu	Wrist
